id,product,shop,price,currency,is_available,url
1,1,1,6113.42,RUB,False,https://hobbygames.example/product/nastolnaya-igra-1
2,1,2,5931.40,RUB,False,https://mosigra.example/product/nastolnaya-igra-1
3,1,3,5774.40,RUB,True,https://api.market.example/product/nastolnaya-igra-1
4,2,1,4747.65,RUB,True,https://hobbygames.example/product/nastolnaya-igra-2
5,2,2,4777.24,RUB,True,https://mosigra.example/product/nastolnaya-igra-2
6,2,3,4579.81,RUB,True,https://api.market.example/product/nastolnaya-igra-2
7,3,1,6440.34,RUB,True,https://hobbygames.example/product/nastolnaya-igra-3
8,3,2,6519.95,RUB,True,https://mosigra.example/product/nastolnaya-igra-3
9,3,3,5847.45,RUB,False,https://api.market.example/product/nastolnaya-igra-3
10,4,1,2070.67,RUB,False,https://hobbygames.example/product/nastolnaya-igra-4
11,4,2,1871.35,RUB,True,https://mosigra.example/product/nastolnaya-igra-4
12,4,3,1918.89,RUB,True,https://api.market.example/product/nastolnaya-igra-4
13,5,1,718.04,RUB,True,https://hobbygames.example/product/nastolnaya-igra-5
14,5,2,746.54,RUB,False,https://mosigra.example/product/nastolnaya-igra-5
15,5,3,784.68,RUB,True,https://api.market.example/product/nastolnaya-igra-5
16,6,1,5546.67,RUB,True,https://hobbygames.example/product/nastolnaya-igra-6
17,6,2,5250.05,RUB,False,https://mosigra.example/product/nastolnaya-igra-6
18,6,3,5187.10,RUB,True,https://api.market.example/product/nastolnaya-igra-6
19,7,1,4882.35,RUB,True,https://hobbygames.example/product/nastolnaya-igra-7
20,7,2,4887.21,RUB,True,https://mosigra.example/product/nastolnaya-igra-7
21,7,3,4539.49,RUB,True,https://api.market.example/product/nastolnaya-igra-7
22,8,1,7050.56,RUB,False,https://hobbygames.example/product/nastolnaya-igra-8
23,8,2,6767.43,RUB,True,https://mosigra.example/product/nastolnaya-igra-8
24,8,3,7248.64,RUB,True,https://api.market.example/product/nastolnaya-igra-8
25,9,1,5742.36,RUB,True,https://hobbygames.example/product/nastolnaya-igra-9
26,9,2,5663.24,RUB,True,https://mosigra.example/product/nastolnaya-igra-9
27,9,3,5712.15,RUB,True,https://api.market.example/product/nastolnaya-igra-9
28,10,1,927.89,RUB,True,https://hobbygames.example/product/nastolnaya-igra-10
29,10,2,932.58,RUB,True,https://mosigra.example/product/nastolnaya-igra-10
30,10,3,892.94,RUB,True,https://api.market.example/product/nastolnaya-igra-10
31,11,1,8107.60,RUB,True,https://hobbygames.example/product/nastolnaya-igra-11
32,11,2,8553.57,RUB,False,https://mosigra.example/product/nastolnaya-igra-11
33,11,3,8666.74,RUB,False,https://api.market.example/product/nastolnaya-igra-11
34,12,1,7568.61,RUB,False,https://hobbygames.example/product/nastolnaya-igra-12
35,12,2,7450.59,RUB,True,https://mosigra.example/product/nastolnaya-igra-12
36,12,3,7717.78,RUB,True,https://api.market.example/product/nastolnaya-igra-12
37,13,1,6661.90,RUB,False,https://hobbygames.example/product/nastolnaya-igra-13
38,13,2,7124.11,RUB,True,https://mosigra.example/product/nastolnaya-igra-13
39,13,3,7388.98,RUB,True,https://api.market.example/product/nastolnaya-igra-13
40,14,1,2909.76,RUB,True,https://hobbygames.example/product/nastolnaya-igra-14
41,14,2,2775.74,RUB,True,https://mosigra.example/product/nastolnaya-igra-14
42,14,3,2777.69,RUB,False,https://api.market.example/product/nastolnaya-igra-14
43,15,1,5164.97,RUB,False,https://hobbygames.example/product/nastolnaya-igra-15
